id,name,releasedate,recommendationcount,priceinitial,abouttext,background
71,Gumboy Crazy Features,Dec 19 2006,0,4.99,Gumboy has fun and novel gameplay set in a richly imagined world.   With simple game controls Gumboy lets the player bounce roll float and fly through the world.  Additionally Gumboy can change size shape and material.  Moving through the world with different physical properties and gameplay:  spheres cubes or stars filled with rubber air or water...  Combine these elements with objectives centered on particle effects and control and Gumboy is refreshing challenging and original fun for everyone for all types of gamers.Innovative game based on ball physics in various environmentsOver 50 levels within a fairy-tale atmosphereInteractive environments: water wind rain teleports boosts sticky and slippery surfacesOriginal artistic depiction of 6 various worlds (forest field cave magical world...)Fantastic lighting and dynamic effectsDetailed graphics with acceleration and fascinating particle effectsVarious ball shapes: sphere cube starVarious ball fillings with an influence on its characteristics: rubber air waterSaves games in progress and the results achieved for several playersGame supports widescreen displays (16:9),http://cdn.akamai.steamstatic.com/steam/apps/2520/page_bg_generated_v6b.jpg?t=1470827912
72,RIP,Jun 1 2007,291,4.99,With the completion of the third title in the RIP series the RIP games have become an instant classic in the arcade-shooter genre. RIP — Trilogy brings all three RIP titles into one exciting and heart-pounding pack.RIPNot afraid of Death? What if he is accompanied by Halloween and Rock-N-Roll? Play the part of these antiheroes and go to war in this all-out action experience! Each character has their own strengths and skills but this is not a game for the faint of heart. With over 40 levels to RIP through the results are murderous!40 levels of murder and mayhemA variety of guns and battle magicThree chilling charactersA toned-down less violent kids modeRIP2 — Strike BackYour favorite antiheroes are here to strike back with another score to settle. Death Halloween and Rock-N-Roll...each character has his own strengths and skills so pick one and start shooting. In Story Mode youll fight through 60 furious levels using an arsenal of upgradeable weapons tanks helicopters and turrets or for a quick adrenaline fix play Rush Mode and see how long you can last.Choose from a large arsenal of weaponsAssorted vehicles including gun turrets tanks and helicoptersVariety of abilities and power-ups60 levels of unlimited gameplayHuge boss levels for more challengeTwo modes of play; Rush Mode or Story ModeRIP3 — The Last HeroRIP3 — The Last Hero combines the dynamics of a hardcore shooter while preserving the elusive classic arcade appeal and never lets up on the intense action. Every level presents a new challenge requiring you to not only prove your sharp-shooting but to think and act tactically.The terrain and environments must be employed to survive waves of adversaries but since all in-game objects are destructible you must think fast. Your hero will travel all over the world from the African jungle to the Arctic snow through secret labs and bunkers in the streets and skyscrapers of Metropolis city and also go into deep space using a hijacked spaceship.100 levels of arcade shooting action6 unique playable characters with varied and powerful skills to developA huge arsenal of destructive weaponry each with 2 shooting modesCapture and control military vehicles including Tanks Helicopters and Battle TurretsFully destructible battlefield - all the objects can be damaged and destroyedIncludes a space adventure minigame where you pilot the Vostok-23 starship12 Huge challenging bosses evoke classic arcade gameplay3 difficulty level settings to increase the intensitySpecial bonuses and secrets are scattered throughout the gameCooperative multiplayer for two players to battle against the enemy hordesMultiplayer death-match for up to 6 players over LAN,http://cdn.akamai.steamstatic.com/steam/apps/2540/page_bg_generated_v6b.jpg?t=1447351053
73,RIP 2: Strike Back,Jun 1 2007,291,4.99,With the completion of the third title in the RIP series the RIP games have become an instant classic in the arcade-shooter genre. RIP — Trilogy brings all three RIP titles into one exciting and heart-pounding pack.RIPNot afraid of Death? What if he is accompanied by Halloween and Rock-N-Roll? Play the part of these antiheroes and go to war in this all-out action experience! Each character has their own strengths and skills but this is not a game for the faint of heart. With over 40 levels to RIP through the results are murderous!40 levels of murder and mayhemA variety of guns and battle magicThree chilling charactersA toned-down less violent kids modeRIP2 — Strike BackYour favorite antiheroes are here to strike back with another score to settle. Death Halloween and Rock-N-Roll...each character has his own strengths and skills so pick one and start shooting. In Story Mode youll fight through 60 furious levels using an arsenal of upgradeable weapons tanks helicopters and turrets or for a quick adrenaline fix play Rush Mode and see how long you can last.Choose from a large arsenal of weaponsAssorted vehicles including gun turrets tanks and helicoptersVariety of abilities and power-ups60 levels of unlimited gameplayHuge boss levels for more challengeTwo modes of play; Rush Mode or Story ModeRIP3 — The Last HeroRIP3 — The Last Hero combines the dynamics of a hardcore shooter while preserving the elusive classic arcade appeal and never lets up on the intense action. Every level presents a new challenge requiring you to not only prove your sharp-shooting but to think and act tactically.The terrain and environments must be employed to survive waves of adversaries but since all in-game objects are destructible you must think fast. Your hero will travel all over the world from the African jungle to the Arctic snow through secret labs and bunkers in the streets and skyscrapers of Metropolis city and also go into deep space using a hijacked spaceship.100 levels of arcade shooting action6 unique playable characters with varied and powerful skills to developA huge arsenal of destructive weaponry each with 2 shooting modesCapture and control military vehicles including Tanks Helicopters and Battle TurretsFully destructible battlefield - all the objects can be damaged and destroyedIncludes a space adventure minigame where you pilot the Vostok-23 starship12 Huge challenging bosses evoke classic arcade gameplay3 difficulty level settings to increase the intensitySpecial bonuses and secrets are scattered throughout the gameCooperative multiplayer for two players to battle against the enemy hordesMultiplayer death-match for up to 6 players over LAN,http://cdn.akamai.steamstatic.com/steam/apps/2540/page_bg_generated_v6b.jpg?t=1447351053
74,RIP 3: The Last Hero,Jun 1 2007,291,4.99,With the completion of the third title in the RIP series the RIP games have become an instant classic in the arcade-shooter genre. RIP — Trilogy brings all three RIP titles into one exciting and heart-pounding pack.RIPNot afraid of Death? What if he is accompanied by Halloween and Rock-N-Roll? Play the part of these antiheroes and go to war in this all-out action experience! Each character has their own strengths and skills but this is not a game for the faint of heart. With over 40 levels to RIP through the results are murderous!40 levels of murder and mayhemA variety of guns and battle magicThree chilling charactersA toned-down less violent kids modeRIP2 — Strike BackYour favorite antiheroes are here to strike back with another score to settle. Death Halloween and Rock-N-Roll...each character has his own strengths and skills so pick one and start shooting. In Story Mode youll fight through 60 furious levels using an arsenal of upgradeable weapons tanks helicopters and turrets or for a quick adrenaline fix play Rush Mode and see how long you can last.Choose from a large arsenal of weaponsAssorted vehicles including gun turrets tanks and helicoptersVariety of abilities and power-ups60 levels of unlimited gameplayHuge boss levels for more challengeTwo modes of play; Rush Mode or Story ModeRIP3 — The Last HeroRIP3 — The Last Hero combines the dynamics of a hardcore shooter while preserving the elusive classic arcade appeal and never lets up on the intense action. Every level presents a new challenge requiring you to not only prove your sharp-shooting but to think and act tactically.The terrain and environments must be employed to survive waves of adversaries but since all in-game objects are destructible you must think fast. Your hero will travel all over the world from the African jungle to the Arctic snow through secret labs and bunkers in the streets and skyscrapers of Metropolis city and also go into deep space using a hijacked spaceship.100 levels of arcade shooting action6 unique playable characters with varied and powerful skills to developA huge arsenal of destructive weaponry each with 2 shooting modesCapture and control military vehicles including Tanks Helicopters and Battle TurretsFully destructible battlefield - all the objects can be damaged and destroyedIncludes a space adventure minigame where you pilot the Vostok-23 starship12 Huge challenging bosses evoke classic arcade gameplay3 difficulty level settings to increase the intensitySpecial bonuses and secrets are scattered throughout the gameCooperative multiplayer for two players to battle against the enemy hordesMultiplayer death-match for up to 6 players over LAN,http://cdn.akamai.steamstatic.com/steam/apps/2540/page_bg_generated_v6b.jpg?t=1447351053
75,Vigil: Blood Bitterness,Jun 29 2007,129,0,Vigil: Blood Bitterness plunges you into the dark and disturbing story of an ancient civilization where you must reveal the secrets of your past and exact revenge on the Evil destroying your universe. Ritualistic killings and blood lust blur the line between your own kind and the Evil you seek to annihilate. Your ultimate goal is to free yourself from this tormenting place and understand the origin and the purpose of this never ending Evil. Vigil is a stylized gothic horror adventure game that uses black and white imagery similar to Frank Millers Sin City™ to create a unique visual that draws you deeper into the gruesome world of your character Dehon. Avoid deadly traps solve puzzles to unravel your past and even devour the faces of your slaves for sustenance towards your ultimate goal of freedom.  Easy point-and-click playabilityEngrossing story with deeply disturbed and complex characters3D graphics with revolutionary black and white art and dynamic camera anglesChallenging puzzles to solve and reveal the mysteries of your civilizationCompelling pre-rendered cut scenes to advance the horrific storyA gallery of clues in text pictures videos and soundsSet up multiple player profiles,http://cdn.akamai.steamstatic.com/steam/apps/2570/page_bg_generated_v6b.jpg?t=1472555208
76,Alpha Prime,Nov 7 2007,984,4.99,Somewhere in deep space at an apparently abandoned mining base on the asteriod Alpha Prime something has gone terribly wrong. Miners were warned that the hubbardium they were mining was too dangerous but the lure of unimaginable wealth was too strong. Now something has happened to them and its up to you to save them and face an unknown threat.Equipped with a surplus of advanced weapons and devices--including a variety of robots and manipulators surveillance cameras and security systems that can be hacked controlled and used to complete your task--your mission is simple: Get in get em and get out!10 levels of fast-paced unrelenting action including mining station spaceship hangar magnetic railway or asteroid surfaceNon-playable characters aid you in your mission to save the miners and get off the asteroidCountless enemies including Special Forces soldiers robots and deranged miners8 futuristic weapons including pistols shotguns machine guns grenades...Vehicles can be used to move to different locations quicklyHack into devices including robots surveillance cameras security systems doors etc.Bullet time allows players to temporarily slow down the action and get the upper handCompatible with Matrox TripleHead2Go(tm) enabling gamers to connect 3 screens,http://cdn.akamai.steamstatic.com/steam/apps/2590/page_bg_generated_v6b.jpg?t=1447351161
77,Vampire: The Masquerade - Bloodlines,Mar 22 2007,3983,19.99,Vampire(r): The Masquerade-Bloodlines(tm) delivers a new type of RPG experience-one that blends all the core elements of a traditional RPG with the graphical richness immediacy and brutal combat of a first-person action game. The game plunges players into the dark and gritty vampire underworld of modern-day L.A. as a creature of the night. Players will develop their characters powers interact with other characters and embark on story-driven quests as they battle mortals and other vampires with an incredible array of vampire powers and weapons. Powered by Valves Source Technology the game is based on White Wolfs popular Vampire: The Masquerade pen-and-paper RPG series and its official clans.,http://cdn.akamai.steamstatic.com/steam/apps/2600/page_bg_generated_v6b.jpg?t=1447350961
78,GUN,Oct 13 2006,351,19.99,When life robs Colton White of all that matters the only thing left he can trust is his GUN. From award-winning developer Neversoft and accomplished screenwriter Randall Jahnson (The Mask of Zorro The Doors) GUN follows Colton on his quest for discovery as he seeks to exact vengeful justice on those who have wronged him. GUN is a realistic epic action/adventure that lets gamers experience the brutality of the lawless West.New and savage ways to punish: Stealthily sneak up and attack your enemies use them as cover stab and shoot them. Blast away and watch the aftermath shoot guns out of enemy hands or destroy with dynamite. Extensive variety of missions and game play: Wage war on horseback commandeer trains protect prostitutes collect bounties play poker hunt buffalo and more. Multiple game play styles include: precision shooting stealth tactics and use of explosives. Embark on numerous side missions that allow you to master gun slinging and horse riding. Unlock secret weapons and upgrade your skills and abilities to improve your weapon and equipment performance.Brutal realism: Act as a gunslinger protecting righteousness or seek retribution as you face corrupt lawmen warring tribes cold-blooded outlaws and ruthless renegades. Encounter legendary gunfighters such as JJ Webb. Employ a multitude of authentic weapons including: Six shooters shotguns Gatling guns flaming arrows hatchets dynamite and more.Expansive interactive world: Play an extensive variety of exciting missions as you journey west across the new frontier. Ride on horseback through the scenic yet dangerous Western terrain of canyons mountains plains forests gold mines and towns.© 2006 Activision Publishing Inc.  Activision is a registered trademark and GUN is a trademark of Activision Publishing Inc.  All rights reserved.  All other trademarks and trade names are the properties of their respective owners.,http://cdn.akamai.steamstatic.com/steam/apps/2610/page_bg_generated_v6b.jpg?t=1447350928
79,Call of Duty,Oct 13 2006,851,19.99,Call of Duty(r) delivers the gritty realism and cinematic intensity of World War IIs epic battlefield moments like never before - through the eyes of citizen soldiers and unsung heroes from an alliance of countries who together helped shape the course of modern history.Play through the chaos of battle as part of a well-trained squad that lays down covering fire and pulls its wounded to safety. In addition to authentic squad movements and tactics each soldiers distinct personality and training comes out on the battlefield.No one soldier or nation single-handedly won the war. For the first time Call of Duty(r) captures the war from multiple perspectives through the eyes of American British and Russian soldiers. Battle through 24 missions spanning 4 interconnected historical campaigns. Take on mission objectives ranging from sabotage and all-out assault to stealth vehicle combat and rescue. Authentic weapons locations vehicles and sounds of war all contribute to the realism immersing you in the most intense World War II experience yet.(c) 2003 Activision Publishing Inc.  Activision and Call of Duty are registered trademarks of Activision Publishing Inc.  All rights reserved.  All other trademarks and trade names are the properties of their respective owners.,http://cdn.akamai.steamstatic.com/steam/apps/2620/page_bg_generated_v6b.jpg?t=1450407165
80,Call of Duty 2,Oct 13 2006,1307,19.99,Call of Duty(r) 2 redefines the cinematic intensity and chaos of battle as seen through the eyes of ordinary soldiers fighting together in epic WWII conflicts. The sequel to 2003s Call of Duty winner of over 80 Game of the Year awards Call of Duty 2 offers more immense more intense more realistic battles than ever before thanks to the stunning visuals of the new COD(tm)2 engine.The,
81,Call of Duty: United Offensive,Oct 13 2006,318,19.99,Award-winning developer Gray Matter Interactive follows up on the success of Infinity Wards Call of Duty(tm) - winner of over 80 Game of the Year and 50 Editors Choice awards worldwide - with Call of Duty(tm): United Offensive(tm). Take the role of American British and Russian soldiers in some of the most climactic battles of World War II including the Battle of the Bulge the invasion of Sicily and the Battle of Kursk.Fight in tanks jeeps motorcycles even a bomber. Work with your squad through snow and rain using new weapons including flamethrowers and deployable machine guns or by calling in artillery strikes. 13 All-New Single Player missions spanning three campaigns. 11 exciting new Multiplayer maps and 3 new multiplayer modes including Domination Capture the Flag and Base Assault.(c) 2006 Activision Publishing Inc.  Activision and Call of Duty are registered trademarks of Activision Publishing Inc.  All rights reserved.  All other trademarks and trade names are the properties of their respective owners.,http://cdn.akamai.steamstatic.com/steam/apps/2640/page_bg_generated_v6b.jpg?t=1450407174
82,RollerCoaster Tycoon 3: Platinum!,Mar 12 2008,2579,19.99,Rollercoaster Tycoon 3 Platinum combines the excitement of rollercoasters with the fun of great strategy sim. RCT3 Platinum combines the roller coaster theme park fun of the Roller Coaster Tycoon 3 with included expansion packs Soaked! and Wild! Now enjoy more options than ever. Build your own water slide or create your own safari with real animals. Watch guest reactions to your ultimate theme park!Grab a front seat for the ride of your life with the jaw-dropping Coaster Cam.See every detail in stunning 3D with fully controllable park cameras.Cope with changing weather patterns and enjoy beautiful vistas sunsets moonlight and more.Experience the latest extreme coasters and heart-pumping rides! Live Every spine tingling detail in stunning 3-D with fully controllable cameras.Spice up any backgrounds rides fireworks display and laser light shows with your own music.Create your own park guests and groups with the Peep Designer and experience their reactions to the rides you build! Soak them and watch their reactions! Send them on wild safari and let them pet the animals!Create savage encounters and thrilling safaris! Conquer 12 Wild! Scenarios and experience cool jungle and prehistoric design themes.Play through dozens of scenarios in three difficulty modes or build without limits in Sandbox mode.Create pyrotechnic wonders and laser light shows with the RollerCoaster Tycoon(r) 3 MixMaster.,http://cdn.akamai.steamstatic.com/steam/apps/2700/page_bg_generated_v6b.jpg?t=1473276734
83,Act of War: Direct Action,Mar 12 2008,109,2.99,Tomorrows War Is NOWRipped from todays headlines Act of War: Direct Action(tm) is a frightening tale of suspense international intrigue and geopolitical military conflict. This real-time strategy experience puts you squarely in control of counterterrorist forces and delivers a first look at tomorrows war.The Situation:A crippling energy crisis. Terrorist attacks. Massive strikes. Global instability.The Enemy:A shadowy Consortium of back-room conspirators determined to throw the world into utter chaos using widespread terror tactics. The Heroes:A new direct action operation known as Task Force TALON to counter massive military assaults rescue hostages conduct classified spy missions take prisoners and stop an unpredictable enemy bent on toppling the worlds governments.Command ultra-realistic modern military unitsPower-packed combination of high-end cinema video effects and live actionIntense multiplayer operations for up to eight playersReal urban combat including POW captures and landscape destructionGripping storyline by NY Times bestselling author Dale Brown,http://cdn.akamai.steamstatic.com/steam/apps/2710/page_bg_generated_v6b.jpg?t=1447351138
84,ThreadSpace: Hyperbol,Jul 12 2007,0,9.99,ThreadSpace: Hyperbol is an action-strategy game set in the distant future. Players battle each other on roads in space as they pilot massive ships capable of firing a wide variety of weapons.  Create defenses coordinate with your team and launch an assault against your opponents to achieve victory!Countless strategies: Over 30 unique projectiles are at your disposal to attack the enemy fortify your defenses and assist your allies.Tactical team play: Coordinate with a team of players to defeat your opponents where every player can have unique strengths and weaknesses.  Up to 16 players online.Customizable ships: Acquire ships to control and customize their design by selecting different parts and colors.  Customize the way your ship behaves by installing new components that alter its attributes.Persistent universe: Play as a character you create that can gain levels and credits. Purchase new ships and components with the credits you earn to truly distinguish your character in the universe.Online ladder system: Compete against other players online and see who the best pilots are.  Earn rewards for being on top.Awards: Demonstrate your skill by earning in-game awards like Bounty Hunter and Combat Mastery.Voice communication: Talk to your team to plan your attacks and coordinate your abilities.Create custom maps: Make your own maps with the Map Editor to play them online and with your friends.,http://cdn.akamai.steamstatic.com/steam/apps/2720/page_bg_generated_v6b.jpg?t=1447351073
85,Arma: Combat Operations,Mar 12 2008,181,7.99,Sequel to the highly successful Operation Flashpoint ARMA: Combat Operations is a first person tactical military shooter on the PC with large elements of realism and simulation. This game features a blend of large-scale military conflict spread across large areas alongside the more close quartered battles. Youll be thrust into the midst of an engaging and expanding storyline fighting against smart aggressive enemies who will continually provide a challenge over a massive landscape.Story driven single player campaign: Write your own campaign storyline by choosing the right mission order when playing the 20+ missions. Play it differently next time and find new ways to victory!Large scale multiplayer: Use ARMA Combat Operations strong multiplayer mode and play battles where tanks supported by infantry and helicopters take control of an enemy city. The engine supports 50+ live opponents in a role of both friendly and enemy forces.More than 30 weapons: Every weapon has unique firing characteristics featuring the new and improved recoil system.Vast environment to explore: Explore Sahrani an area over 400 square kilometers in size full of flora and fauna.More than 30 modern vehicles: All vehicles in the game can be controlled - tanks armored vehicles helicopters airplanes civilian cars or even boats.Multiple gunners: Utilize the multiple gunner positions on tanks and helicopters to rain death on your enemies both in multiplayer missions and single player campaign.HDR Lighting effects: Ambushing an enemy with the sun in your eyes leaves you at the disadvantage. Think smart fight better!Real constellations and tides: ARMAs great depth even includes such features as fully simulated star maps lunar cycles and tides. Watch where you park your vehicle soldier!Built-in mission editor: Create you own scenarios using the easy-to-use mission wizard advanced built-in mission editor scripting language or BI tools available online and share your creation with the game.,http://cdn.akamai.steamstatic.com/steam/apps/2780/page_bg_generated_v6b.jpg?t=1447351139
86,X2: The Threat,Jul 21 2006,183,4.99,X2: The Threat is of a new generation of space simulator games you play the role of Julian Gardna who continues the story set by X: Beyond The Frontier. The updated graphics engine gives the universe a fresher feel with newly designed ships and stations adding to the complexity of the universe.Explore: You can explore over 130 beautifully designed sectors occupied by nebulas that affect your ships and stations asteroids you can mine for materials you can later sell on for profit.New Ships: Explore in over 60 ships of varying sizes from scout class ships to the much larger carrier class battleships.New Upgrades:  Upgrade your ships systems with many more upgrades and download new upgrades that make use of the new scripting engine designed specially for X2.New Weapons: Add new weapons to your ship including the Ion Disruptor and Mass Driver but also build factories that will develop these weapons and sell them to make a profit expanding your own empire among the universe.New Missions:  Take part in missions offered to you on each stations bulletin board make money by defending convoys and destroy incoming Xenon fleets intent on destroying everything in their path.But above all else help to defend the universe from the Khaak before they kill everyone and everything they come across.,http://cdn.akamai.steamstatic.com/steam/apps/2800/page_bg_generated_v6b.jpg?t=1458207805
87,X3: Reunion,Jul 21 2006,280,9.99,The Sequel to the award winning X2: The Threat introduces a new 3D engine as well as a new story new ships and a new gameplay to greatly increase the variety in the X-universe. The economy of X3: Reunion is more complex than anything seen in the X-universe before. Factories are being built by NPCs wars can affect the global economy NPCs can trade freely and pirates behave far more realistically.The Technology: Extensive development has gone into the X3 engine making full use of DirectX 9 technology to create dramatic visual effects and stunningly realistic starships. Coupled with the massively enhanced A.L. (Artificial Life) system X3: REUNION presents players with an ever changing evolving universe; where a players actions really can shape the future of the universe.The new X3 2.0: Bala Gi Research Missions: The X3 2.0: Bala Gi Research Missions offers a host of new features and missions allowing the player to delve deeper than ever before into the X universe.Space just got a whole lot bigger with the addition of two new sectors and the introduction of the gargantuan Player HQ which allows many exciting new features including the ability to build your own ships and even give them customized space paint finishes.  In addition to the new M7 battleship there is an assortment of new weapons and onboard ship devices to use and explore.,http://cdn.akamai.steamstatic.com/steam/apps/2810/page_bg_generated_v6b.jpg?t=1458211384
88,X3: Terran Conflict,Oct 16 2008,1262,15.99,It is the year 2938. The long wished-for encounter of the X Universe and the Earth holds both joy and sorrow for the people. Despite flourishing trade the clash of the diverse races cultures and life forms creates new tensions mistrust and open conflict that need to be overcome!Experience the brilliant climax of the legendary X-Trilogy  and take your place in the history of the X Universe.Largest X Universe ever.New faction: the Terrans - inhabitants of the Earth.More jobs and non-linear missions than ever before.More than 100 new spaceships new ship classes and weapon systems.Re-designed user interface for comfortable control by mouse keyboard and joystick.New group management tool.Large battleships can be boarded by an outside team.,http://cdn.akamai.steamstatic.com/steam/apps/2820/page_bg_generated_v6b.jpg?t=1458209718
89,X: Beyond the Frontier,Oct 8 2010,136,4.99,The Human Race had advanced to the point where we could travel among the stars we developed giant automated machines to help us colonise other worlds but there was a fault in their programming and they turned and attacked. Forcing us to lay a trap to protect Earth and exiling the Human race to stay on Earth once again.500 Years later Kyle Brennan starts his journey by piloting an experimental ship equipped with a new piece of technology allowing it to cross vast distances on its own. However it malfunctions and traps him in a group of sectors inhabited by Aliens hunted and with no way home this is his story of survival... Beyond the Frontier...X: Beyond The Frontier is the first part in the X-Universe series of games developed by Egosoft.It tells the story of mankinds rise and fall in the universe and the attempt by Kyle Brennan to help repopulate the stars using a new ship called the Experimental Shuttle and how he became trapped in a closed group of sectors linked by a series of jumpgates owing credits to an alien for helping to save him and hunted by several people. Unknowingly a group of secret service people are after him a group who have tried to hide their races secret that they are the descendants of a group of Humans who saved earth from the Terraformer fleet they created to help colonise the universe.Now with the Truth coming out X: Beyond the Frontier allows the player to play as Kyle Brennan on his hunt to find a way home whilst helping a group of people find the truth about their ancestry and continue to help save earth from the Terraformers who are now known as the Xenon.FeaturesTrade - Trade in over 50 sectors with over 50 different goods upgrade you ships with dozens of upgrades available to you by 5 different races. Fight - Find the location of the hostile pirates and survive against attacks by the Xenon. Build - Construct stations to build your own production empire. Think - Adapt your trading empire to suit the needs of each sectors local economy.,http://cdn.akamai.steamstatic.com/steam/apps/2840/page_bg_generated_v6b.jpg?t=1447353612
90,X-Tension,Oct 8 2010,0,4.99,X-Tension is the eagerly awaited expansion pack to X: Beyond the Frontier. The expansion is not limited by a linear plot line but makes use of new ways to expand your empire. You can now take part in missions that are offered to you throughout the game.FeaturesMore Ships - You are no longer limited to one ship but can now buy and pilot all fighters and small transports in the game. As well as capturing new Pirate ships. Expanded Universe - The universe has also been expanded with over 40 new sectors to visit trade and fight inside allowing you to find new locations to build new stations and trade in new goods. The Version 2 Update - The release of the 2.0 upgrade expanded the game even further allowing you to pilot the larger TL class freighter.Continue your quest to explore the universe trade in over 90 sectors with over 50 goods upgrade your ship with dozens of wares available to you by 5 unique alien races and protect yourself from the hostile Xenon.,http://cdn.akamai.steamstatic.com/steam/apps/2850/page_bg_generated_v6b.jpg?t=1447353611
91,X Rebirth,Nov 15 2013,5637,29.99,In the distant future the X universe faces a period of profound and irrevocable change. While the universe stumbles towards an uncertain future countless adventures await as new enemies rise in search of power. Enter a young adventurer and his unlikely female ally traveling in an old battered ship with a glorious past - two people alone against the galaxy playing a key part in the events to come. The fate of the universe rests in the hands of the player...X Rebirth represents a spectacular new beginning for the X series offering loyal fans and newcomers alike a vast vivid and extremely detailed universe to explore throughout the game. Varied gameplay elements such as action-packed space combat detailed trading mechanics and high-speed space exploration with fast travel allow players to experience a truly unique space saga that will keep them hooked for dozens of hours. X Rebirth features a whole new user experience - it is easier than ever to start with and remains as deep as fans expect it.FEATURESTRADE! A fully simulated economy that means your actions really do matter. Travel the space highways to find profit in gigantic space cities swarming with ships and drones.++ Every ship you see has a task. Stop a freighter from reaching its destination and its cargo will be stopped too causing prices to rise. ++FIGHT! From small scale skirmishes to epic fleet encounters battles in the X Universe know no limits. Choose to fight for the military work for the police or be a lawless pirate or if you prefer just fight when you need to defend yourself - its up to you.++ Take the action right into massive structures. Target turrets and shield generators to weaken your enemy damage engines and jump drives to prevent their ships from escaping or stop their factories producing to cripple their economy. ++BUILD! Create your own empire! From trading stations to large factories farms to hightech military complexes everything can belong to you. Build for trade and profit or to strengthen your military presence and dominate your enemies.++ Extend and upgrade your stations to make them operate more efficiently with every element visible in glorious animated detail. Harvest your own resources to keep your empire running smoothly. ++THINK! A rich detailed history and a deep complex plot await you but you are free to decide when and where to take part. Explore the universe at your own pace - choose your own path and create your own destiny.++ Get up-close and personal with aliens and humans alike. Land on stations meet people then accept missions from them or hire them as crew members for your ships. ++ TRADE FIGHT BUILD THINK... in the X Universe - the biggest sandbox this side of the galaxy.,http://cdn.akamai.steamstatic.com/steam/apps/2870/page_bg_generated_v6b.jpg?t=1458212516
92,688(I) Hunter/Killer,Oct 26 2006,0,9.99,688(I) Hunter/Killer the most realistic submarine simulation ever developed for PC. Master the sonar and weapons control systems learn to develop real target situations and outfit your boat with the latest advanced weaponry. Then use your skills to complete the tour of duty and earn your dolphins to become a true submariner.A truly authentic simulation: Developed by Sonalysts a defense contractor who designs submarine simulators for the US NavyOver 12 detailed operating stations: Control all aspects of submarine warfare including the sonar suite fire control helm and target motion analysisReal-World Terrain: Ocean depth and water density for the entire globe are based on actual satellite topographical dataReal-life situations: Conduct detailed training and single missions plus a full campaign based on political analysis from real world situationsMultiplayer Warfare: Seek and Destroy up to 8 players over the internet or LANFull 3D Technology: Full 3D technology allows for multiple camera views and accurate 3D models of over 20 different naval weapons platformsComplete Control: Manage all of the resources of your submarine including crewmen training and weapons load-outs,http://cdn.akamai.steamstatic.com/steam/apps/2900/page_bg_generated_v6b.jpg?t=1447350933
93,Fleet Command,Oct 26 2006,0,9.99,International waterways become theaters of war when the worlds most formidable maritime powers exchange their fatal blows. With entire fleets at your command you must strategically deploy vessels from every class - frigate to aircraft to nuclear submarine - to maintain the precarious balance of naval power and gain position for the deadly endgame.Campaigns and mission scenarios straight from current headlinesExclusive real-time strategy with cuttingedge real-world weaponsIntuitive point and click game playNo need to memorize symbols or complex commandsPlayer designed task forcesComplete 3D environment rotates and zooms for intense combat actionEffects modeled in stunning detail- time of day clouds rain differing sea states ships wake and pyrotechnics,http://cdn.akamai.steamstatic.com/steam/apps/2910/page_bg_generated_v6b.jpg?t=1447350934
94,Sub Command,Oct 26 2006,0,9.99,Take charge of the most deadly modern-day submarines in the world - three distinct submarines across two unique and challenging campaigns. Utilize cutting-edge sensor and weapon technology to locate track and destroy the enemy - even deliver Tomahawk missiles to inland targets. Whether transiting diving or surfacing you control the smartest stealthiest and most feared subs on the water today!Three submarines to command - Seawolf 688(I) and Akula. Each contains authentic naval systems including Sonar Radar and Target Motion Analysis.Test your skills while firing Tomahawk missiles rescuing crippled subs rising through the polar ice cap to communicate information and much more.Easy to use game interface - With straightforward controls and automated crewmen controlling a submarine has never been easier.Enhanced sound and 3D graphics engine - 3D Objects (over 250) from Russian trawlers to Frances Mirage fighters - plus exacting sound modes pull you in like never before. You wont just hear the torpedos you will feel them.,http://cdn.akamai.steamstatic.com/steam/apps/2920/page_bg_generated_v6b.jpg?t=1447350935
95,FlatOut 2,Dec 21 2006,2870,9.99,DRIVING THIS RECKLESS IS NO ACCIDENT!But you might want to cause a few.  In these high-speed races the more damage you inflict the better. The ultimate in turbo-charged cars and the craziest competitor drivers are waiting to test your best destructive streak. Responsible drivers need not apply.Thousands and thousands of objects to annihilate.Mini games gone wild - hurl the driver in these 12 crazy challenges.Wreck your way across parched deserts massive storm drains and narrow city streets.Ram your opponents car and watch them fly through the air - youre here to win!FlatOut 2 © 2006 Empire Interactive Europe Ltd. Game concept and development by Bugbear Entertainment Ltd. Empire FlatOut and E are either trademarks or registered trademarks of Empire Interactive Europe Ltd. in the UK/Europe and/or other countries. All rights reserved. NVIDIA the NVIDIA Logo GeForce and The Way Its Meant to be Played Logo are registered trademarks and/or trademarks of NVIDIA Corporation in the United States and other countries. GameSpy and the Powered by GameSpy design are trademarks of GameSpy Industries Inc. All rights reserved. a product of the e.u.,http://cdn.akamai.steamstatic.com/steam/apps/2990/page_bg_generated_v6b.jpg?t=1447350951
